run_date,code,name,rank,entry_price,exit_date,exit_price,return_pct,bench_return_pct,status
2026-07-13,7581,サイゼリヤ,5,5830.00,2026-07-17,7600.00,30.3602,-6.4422,closed
2026-07-14,4432,ウイングアーク１ｓｔ,1,2741.00,2026-07-21,2900.00,5.8008,-1.5028,closed
2026-07-14,8008,ヨンドシーホールディングス,2,2177.00,2026-07-21,2136.00,-1.8833,-1.5028,closed
2026-07-14,9535,広島ガス,3,417.00,2026-07-21,422.00,1.1990,-1.5028,closed
2026-07-14,9278,ブックオフグループホールディングス,4,2206.00,2026-07-21,2638.00,19.5830,-1.5028,closed
2026-07-14,4394,エクスモーション,5,566.00,2026-07-21,553.00,-2.2968,-1.5028,closed
2026-07-16,4432,ウイングアーク１ｓｔ,1,2791.00,2026-07-23,2832.00,1.4690,-3.3874,closed
2026-07-16,8008,ヨンドシーホールディングス,2,2156.00,2026-07-23,2062.00,-4.3599,-3.3874,closed
2026-07-16,4394,エクスモーション,3,569.00,2026-07-23,553.00,-2.8120,-3.3874,closed
2026-07-16,9278,ブックオフグループホールディングス,4,2382.00,2026-07-23,2508.00,5.2897,-3.3874,closed
2026-07-16,6474,不二越,5,6470.00,2026-07-23,5780.00,-10.6646,-3.3874,closed
2026-07-17,2471,エスプール,1,269.00,2026-07-24,267.00,-0.7435,-3.3282,closed
2026-07-17,2153,Ｅ・Ｊホールディングス,2,1792.00,2026-07-24,1740.00,-2.9018,-3.3282,closed
2026-07-17,3994,マネーフォワード,3,5148.00,2026-07-24,5407.00,5.0311,-3.3282,closed
2026-07-17,7610,テイツー,4,149.00,2026-07-24,148.00,-0.6711,-3.3282,closed
2026-07-17,4477,ＢＡＳＥ,5,321.00,2026-07-24,295.00,-8.0997,-3.3282,closed
2026-07-21,2153,Ｅ・Ｊホールディングス,1,1779.00,2026-07-27,1764.00,-0.8432,1.2318,closed
2026-07-21,2471,エスプール,2,275.00,2026-07-27,271.00,-1.4545,1.2318,closed
2026-07-21,3946,トーモク,3,4440.00,2026-07-27,4550.00,2.4775,1.2318,closed
2026-07-21,7610,テイツー,4,149.00,2026-07-27,150.00,0.6711,1.2318,closed
2026-07-21,3994,マネーフォワード,5,5436.00,2026-07-27,5700.00,4.8565,1.2318,closed
2026-07-22,3946,トーモク,1,4495.00,2026-07-28,4540.00,1.0011,-5.8390,closed
2026-07-22,4432,ウイングアーク１ｓｔ,2,2860.00,2026-07-28,3055.00,6.8182,-5.8390,closed
2026-07-22,2153,Ｅ・Ｊホールディングス,3,1749.00,2026-07-28,1762.00,0.7433,-5.8390,closed
2026-07-22,4722,フューチャー,4,2248.00,2026-07-28,2340.00,4.0925,-5.8390,closed
2026-07-22,4174,アピリッツ,5,770.00,2026-07-28,718.75,-6.6555,-5.8390,closed
2026-07-23,3946,トーモク,1,4475.00,2026-07-29,4640.00,3.6872,-7.0806,closed
2026-07-23,4722,フューチャー,2,2233.00,2026-07-29,2382.00,6.6726,-7.0806,closed
2026-07-23,4432,ウイングアーク１ｓｔ,3,2850.00,2026-07-29,3230.00,13.3333,-7.0806,closed
2026-07-23,3697,ＳＨＩＦＴ,4,750.80,2026-07-29,950.00,26.5317,-7.0806,closed
2026-07-23,2326,デジタルアーツ,5,4015.00,2026-07-29,4165.00,3.7360,-7.0806,closed
2026-07-24,2326,デジタルアーツ,1,3990.00,2026-07-30,4105.00,2.8822,-6.8579,closed
2026-07-24,3946,トーモク,2,4470.00,2026-07-30,4630.00,3.5794,-6.8579,closed
2026-07-24,4733,オービックビジネスコンサルタント,3,7366.00,2026-07-30,8339.00,13.2093,-6.8579,closed
2026-07-24,4722,フューチャー,4,2150.00,2026-07-30,2449.00,13.9070,-6.8579,closed
2026-07-24,8541,愛媛銀行,5,2576.00,2026-07-30,2720.00,5.5901,-6.8579,closed
2026-07-27,7752,リコー,1,1587.00,2026-07-31,1579.50,-0.4726,-0.3856,closed
2026-07-27,3946,トーモク,2,4500.00,2026-07-31,4515.00,0.3333,-0.3856,closed
2026-07-27,4722,フューチャー,3,2269.00,2026-07-31,2445.00,7.7567,-0.3856,closed
2026-07-27,3159,丸善ＣＨＩホールディングス,4,367.00,2026-07-31,364.00,-0.8174,-0.3856,closed
2026-07-27,4432,ウイングアーク１ｓｔ,5,2902.00,2026-07-31,3190.00,9.9242,-0.3856,closed
2026-07-28,3946,トーモク,1,4505.00,2026-08-03,4570.00,1.4428,-0.8766,closed
2026-07-28,4432,ウイングアーク１ｓｔ,2,3040.00,2026-08-03,3215.00,5.7566,-0.8766,closed
2026-07-28,5253,カバー,3,1606.00,2026-08-03,1407.00,-12.3910,-0.8766,closed
2026-07-28,3159,丸善ＣＨＩホールディングス,4,366.00,2026-08-03,362.00,-1.0929,-0.8766,closed
2026-07-28,4722,フューチャー,5,2375.00,2026-08-03,2447.00,3.0316,-0.8766,closed
2026-07-29,3159,丸善ＣＨＩホールディングス,1,367.00,2026-08-04,380.00,3.5422,2.6546,closed
2026-07-29,3946,トーモク,2,4535.00,2026-08-04,4455.00,-1.7641,2.6546,closed
2026-07-29,4373,シンプレクス・ホールディングス,3,1117.00,2026-08-04,1093.00,-2.1486,2.6546,closed
2026-07-29,5911,横河ブリッジホールディングス,4,2978.00,2026-08-04,2929.00,-1.6454,2.6546,closed
2026-07-29,4733,オービックビジネスコンサルタント,5,7959.00,2026-08-04,7811.00,-1.8595,2.6546,closed
2026-07-30,9605,東映,1,6300.00,2026-08-05,5890.00,-6.5079,5.1796,closed
2026-07-30,3635,コーエーテクモホールディングス,2,1655.00,2026-08-05,1567.50,-5.2870,5.1796,closed
2026-07-30,2354,ＹＥ　ＤＩＧＩＴＡＬ,3,1272.00,2026-08-05,1390.00,9.2767,5.1796,closed
2026-07-30,3539,ＪＭホールディングス,4,1422.00,2026-08-05,1368.00,-3.7975,5.1796,closed
2026-07-30,5253,カバー,5,1558.00,2026-08-05,1484.00,-4.7497,5.1796,closed
2026-07-31,9605,東映,1,6210.00,2026-08-06,5850.00,-5.7971,3.3784,closed
2026-07-31,3635,コーエーテクモホールディングス,2,1637.50,2026-08-06,1562.50,-4.5802,3.3784,closed
2026-07-31,3636,三菱総合研究所,3,4740.00,2026-08-06,4580.00,-3.3755,3.3784,closed
2026-07-31,3539,ＪＭホールディングス,4,1425.00,2026-08-06,1375.00,-3.5088,3.3784,closed
2026-07-31,2354,ＹＥ　ＤＩＧＩＴＡＬ,5,1280.00,2026-08-06,1339.00,4.6094,3.3784,closed
2026-08-03,9605,東映,1,6000.00,2026-08-07,6000.00,0.0000,0.9854,closed
2026-08-03,3635,コーエーテクモホールディングス,2,1600.00,2026-08-07,1635.00,2.1875,0.9854,closed
2026-08-03,9991,ジェコス,3,1720.00,2026-08-07,1748.00,1.6279,0.9854,closed
2026-08-03,4722,フューチャー,4,2447.00,2026-08-07,2446.00,-0.0409,0.9854,closed
2026-08-03,4661,オリエンタルランド,5,3119.00,2026-08-07,3004.00,-3.6871,0.9854,closed
2026-08-04,4722,フューチャー,1,2447.00,2026-08-10,2444.00,-0.1226,5.0433,closed
2026-08-04,9507,四国電力,2,1729.00,2026-08-10,1734.50,0.3181,5.0433,closed
2026-08-04,9991,ジェコス,3,1709.00,2026-08-10,1749.00,2.3406,5.0433,closed
2026-08-04,2121,ＭＩＸＩ,4,3325.00,2026-08-10,3335.00,0.3008,5.0433,closed
2026-08-04,1899,福田組,5,3870.00,2026-08-10,4605.00,18.9922,5.0433,closed
2026-08-05,9507,四国電力,1,1764.50,2026-08-12,1734.50,-1.7002,4.7104,closed
2026-08-05,2121,ＭＩＸＩ,2,3230.00,2026-08-12,3335.00,3.2508,4.7104,closed
2026-08-05,1899,福田組,3,3870.00,2026-08-12,4605.00,18.9922,4.7104,closed
2026-08-05,4722,フューチャー,4,2446.00,2026-08-12,2444.00,-0.0818,4.7104,closed
2026-08-05,3851,日本一ソフトウェア,5,1038.00,2026-08-12,1135.00,9.3449,4.7104,closed
2026-08-06,9507,四国電力,1,1775.50,2026-08-13,1748.00,-1.5489,1.0102,closed
2026-08-06,2121,ＭＩＸＩ,2,3235.00,2026-08-13,3320.00,2.6275,1.0102,closed
2026-08-06,4674,クレスコ,3,1680.00,2026-08-13,1855.00,10.4167,1.0102,closed
2026-08-06,6932,遠藤照明,4,2778.00,2026-08-13,2590.00,-6.7675,1.0102,closed
2026-08-06,3851,日本一ソフトウェア,5,1037.00,2026-08-13,1140.00,9.9325,1.0102,closed
2026-08-07,4674,クレスコ,1,1810.00,2026-08-14,1919.00,6.0221,2.8025,closed
2026-08-07,2121,ＭＩＸＩ,2,3215.00,2026-08-14,3285.00,2.1773,2.8025,closed
2026-08-07,9511,沖縄電力,3,1064.00,2026-08-14,1097.00,3.1015,2.8025,closed
2026-08-07,6517,デンヨー,4,4150.00,2026-08-14,4130.00,-0.4819,2.8025,closed
2026-08-07,3762,テクマトリックス,5,2300.00,2026-08-14,2311.00,0.4783,2.8025,closed
2026-08-10,4674,クレスコ,1,1805.00,2026-08-17,1955.00,8.3102,4.7359,closed
2026-08-10,9511,沖縄電力,2,1069.00,2026-08-17,1142.00,6.8288,4.7359,closed
2026-08-10,6517,デンヨー,3,4215.00,2026-08-17,4140.00,-1.7794,4.7359,closed
2026-08-10,3762,テクマトリックス,4,2284.00,2026-08-17,2310.00,1.1384,4.7359,closed
2026-08-10,2121,ＭＩＸＩ,5,3275.00,2026-08-17,3305.00,0.9160,4.7359,closed
2026-08-12,8276,平和堂,1,2707.00,2026-08-18,2716.00,0.3325,3.3597,closed
2026-08-12,3964,オークネット,2,1474.00,2026-08-18,1501.00,1.8318,3.3597,closed
2026-08-12,4674,クレスコ,3,1867.00,2026-08-18,1998.00,7.0166,3.3597,closed
2026-08-12,6952,カシオ計算機,4,2311.00,2026-08-18,2353.00,1.8174,3.3597,closed
2026-08-12,3901,マークラインズ,5,1514.00,2026-08-18,1643.00,8.5205,3.3597,closed
2026-08-13,8276,平和堂,1,2713.00,2026-08-19,2695.00,-0.6635,-0.0938,closed
2026-08-13,4674,クレスコ,2,1855.00,2026-08-19,2018.00,8.7871,-0.0938,closed
2026-08-13,3964,オークネット,3,1465.00,2026-08-19,1440.00,-1.7065,-0.0938,closed
2026-08-13,6952,カシオ計算機,4,2365.00,2026-08-19,2280.00,-3.5941,-0.0938,closed
2026-08-13,9684,スクウェア・エニックス・ホールディングス,5,2974.00,2026-08-19,2888.50,-2.8749,-0.0938,closed
2026-08-14,8276,平和堂,1,2725.00,2026-08-20,2709.00,-0.5872,-4.3657,closed
2026-08-14,4674,クレスコ,2,1928.00,2026-08-20,2033.00,5.4461,-4.3657,closed
2026-08-14,4746,東計電算,3,6500.00,2026-08-20,6430.00,-1.0769,-4.3657,closed
2026-08-14,3901,マークラインズ,4,1561.00,2026-08-20,1614.00,3.3953,-4.3657,closed
2026-08-14,4390,ＩＰＳ,5,3740.00,2026-08-20,3980.00,6.4171,-4.3657,closed
2026-08-17,8276,平和堂,1,2750.00,2026-08-21,2752.00,0.0727,-3.9256,closed
2026-08-17,4746,東計電算,2,6500.00,2026-08-21,6670.00,2.6154,-3.9256,closed
2026-08-17,3683,サイバーリンクス,3,1109.00,2026-08-21,1121.00,1.0821,-3.9256,closed
2026-08-17,4847,インテリジェント　ウェイブ,4,1281.00,2026-08-21,1319.00,2.9664,-3.9256,closed
2026-08-17,4390,ＩＰＳ,5,4045.00,2026-08-21,4065.00,0.4944,-3.9256,closed
2026-08-18,3683,サイバーリンクス,1,1122.00,2026-08-24,1119.00,-0.2674,-4.6285,closed
2026-08-18,4674,クレスコ,2,1955.00,2026-08-24,2044.00,4.5524,-4.6285,closed
2026-08-18,3901,マークラインズ,3,1613.00,2026-08-24,1567.00,-2.8518,-4.6285,closed
2026-08-18,1847,イチケン,4,3430.00,2026-08-24,3450.00,0.5831,-4.6285,closed
2026-08-18,8281,ゼビオホールディングス,5,1200.00,2026-08-24,1191.00,-0.7500,-4.6285,closed
2026-08-19,4674,クレスコ,1,1998.00,,,,,pending
2026-08-19,3683,サイバーリンクス,2,1113.00,,,,,pending
2026-08-19,6840,ＡＫＩＢＡホールディングス,3,835.00,,,,,pending
2026-08-19,3676,デジタルハーツホールディングス,4,1059.00,,,,,pending
2026-08-19,3040,ソリトンシステムズ,5,2475.00,,,,,pending
2026-08-20,3676,デジタルハーツホールディングス,1,1060.00,,,,,pending
2026-08-20,8281,ゼビオホールディングス,2,1196.00,,,,,pending
2026-08-20,3040,ソリトンシステムズ,3,2388.00,,,,,pending
2026-08-20,3660,アイスタイル,4,514.00,,,,,pending
2026-08-20,8070,東京産業,5,934.00,,,,,pending
2026-08-21,8281,ゼビオホールディングス,1,1208.00,,,,,pending
2026-08-21,8070,東京産業,2,939.00,,,,,pending
2026-08-21,2735,ワッツ,3,714.00,,,,,pending
2026-08-21,6862,ミナトホールディングス,4,3615.00,,,,,pending
2026-08-21,4019,スタメン,5,647.00,,,,,pending
2026-08-24,2735,ワッツ,1,717.00,,,,,pending
2026-08-24,3659,ネクソン,2,3095.00,,,,,pending
2026-08-24,4019,スタメン,3,642.00,,,,,pending
2026-08-24,8070,東京産業,4,938.00,,,,,pending
2026-08-24,6862,ミナトホールディングス,5,3370.00,,,,,pending
