run_date,code,name,rank,score,entry_price,basis_conditions,basis_count,basis_total,ref_upper,ref_lower,ref_hold,status,close_date,close_reason
2026-07-09,9960,東テク,5,,4225.00,,,,,,5,closed,2026-07-15,expired
2026-07-10,4722,フューチャー,1,,1730.00,,,,,,5,closed,2026-07-16,expired
2026-07-10,2734,サーラコーポレーション,2,,1146.00,,,,,,5,closed,2026-07-16,expired
2026-07-10,1822,大豊建設,3,,820.00,,,,,,5,closed,2026-07-16,expired
2026-07-10,4812,電通総研,4,,2702.00,,,,,,5,closed,2026-07-16,expired
2026-07-10,9425,ＲｅＹｕｕ　Ｊａｐａｎ,5,,253.00,,,,,,5,closed,2026-07-16,expired
2026-07-13,1822,大豊建設,1,,793.00,,,,,,5,closed,2026-07-17,expired
2026-07-13,9425,ＲｅＹｕｕ　Ｊａｐａｎ,2,,223.00,,,,,,5,closed,2026-07-17,expired
2026-07-13,8008,ヨンドシーホールディングス,3,,2109.00,,,,,,5,closed,2026-07-17,expired
2026-07-13,4812,電通総研,4,,2678.00,,,,,,5,closed,2026-07-17,expired
2026-07-13,7581,サイゼリヤ,5,,5830.00,,,,,,5,closed,2026-07-17,expired
2026-07-14,4432,ウイングアーク１ｓｔ,1,,2741.00,,,,,,5,closed,2026-07-21,expired
2026-07-14,8008,ヨンドシーホールディングス,2,,2177.00,,,,,,5,closed,2026-07-21,expired
2026-07-14,9535,広島ガス,3,,417.00,,,,,,5,closed,2026-07-21,expired
2026-07-14,9278,ブックオフグループホールディングス,4,,2206.00,,,,,,5,closed,2026-07-21,expired
2026-07-14,4394,エクスモーション,5,,566.00,,,,,,5,closed,2026-07-21,expired
2026-07-16,4432,ウイングアーク１ｓｔ,1,,2791.00,,,,,,5,closed,2026-07-23,expired
2026-07-16,8008,ヨンドシーホールディングス,2,,2156.00,,,,,,5,closed,2026-07-23,expired
2026-07-16,4394,エクスモーション,3,,569.00,,,,,,5,closed,2026-07-23,expired
2026-07-16,9278,ブックオフグループホールディングス,4,,2382.00,,,,,,5,closed,2026-07-23,expired
2026-07-16,6474,不二越,5,,6470.00,,,,,,5,closed,2026-07-23,expired
2026-07-17,2471,エスプール,1,,269.00,,,,,,5,closed,2026-07-24,expired
2026-07-17,2153,Ｅ・Ｊホールディングス,2,,1792.00,,,,,,5,closed,2026-07-24,expired
2026-07-17,3994,マネーフォワード,3,,5148.00,,,,,,5,closed,2026-07-24,expired
2026-07-17,7610,テイツー,4,,149.00,,,,,,5,closed,2026-07-24,expired
