run_date,code,horizon,snap_date,price,return_pct,nikkei_return_pct
2026-08-14,3069,5d,2026-08-20,167.00,0.6024,-4.3657
2026-08-14,4390,1d,2026-08-14,4045.00,8.1551,0.5932
2026-08-14,4390,3d,2026-08-18,4090.00,9.3583,1.3346
2026-08-14,4390,5d,2026-08-20,3980.00,6.4171,-4.3657
2026-08-14,4674,1d,2026-08-14,1955.00,1.4004,0.5932
2026-08-14,4674,3d,2026-08-18,1998.00,3.6307,1.3346
2026-08-14,4674,5d,2026-08-20,2033.00,5.4461,-4.3657
2026-08-14,4746,1d,2026-08-14,6500.00,0.0000,0.5932
2026-08-14,4746,3d,2026-08-18,6480.00,-0.3077,1.3346
2026-08-14,4746,5d,2026-08-20,6430.00,-1.0769,-4.3657
2026-08-14,8276,1d,2026-08-14,2750.00,0.9174,0.5932
2026-08-14,8276,3d,2026-08-18,2716.00,-0.3303,1.3346
2026-08-14,8276,5d,2026-08-20,2709.00,-0.5872,-4.3657
2026-08-17,3069,1d,2026-08-17,170.00,1.7964,0.0000
2026-08-17,3069,3d,2026-08-19,166.00,-0.5988,-1.8236
2026-08-17,3069,5d,2026-08-21,167.00,0.0000,-3.9256
2026-08-17,3683,1d,2026-08-17,1122.00,1.1722,0.0000
2026-08-17,3683,3d,2026-08-19,1104.00,-0.4509,-1.8236
2026-08-17,3683,5d,2026-08-21,1121.00,1.0821,-3.9256
2026-08-17,4746,1d,2026-08-17,6490.00,-0.1538,0.0000
2026-08-17,4746,3d,2026-08-19,6460.00,-0.6154,-1.8236
2026-08-17,4746,5d,2026-08-21,6670.00,2.6154,-3.9256
2026-08-17,4847,1d,2026-08-17,1275.00,-0.4684,0.0000
2026-08-17,4847,3d,2026-08-19,1281.00,0.0000,-1.8236
2026-08-17,4847,5d,2026-08-21,1319.00,2.9664,-3.9256
2026-08-17,8276,1d,2026-08-17,2745.00,-0.1818,0.0000
2026-08-17,8276,3d,2026-08-19,2695.00,-2.0000,-1.8236
2026-08-17,8276,5d,2026-08-21,2752.00,0.0727,-3.9256
2026-08-18,3069,1d,2026-08-18,166.00,-2.3529,0.0000
2026-08-18,3069,3d,2026-08-20,167.00,-1.7647,-5.6253
2026-08-18,3683,1d,2026-08-18,1113.00,-0.8021,0.0000
2026-08-18,3683,3d,2026-08-20,1117.00,-0.4456,-5.6253
2026-08-18,3901,1d,2026-08-18,1643.00,1.8599,0.0000
2026-08-18,3901,3d,2026-08-20,1614.00,0.0620,-5.6253
2026-08-18,4674,1d,2026-08-18,1998.00,2.1995,0.0000
2026-08-18,4674,3d,2026-08-20,2033.00,3.9898,-5.6253
2026-08-18,8281,1d,2026-08-18,1200.00,0.0000,0.0000
2026-08-18,8281,3d,2026-08-20,1208.00,0.6667,-5.6253
2026-08-19,2780,1d,2026-08-19,5260.00,-4.3636,0.0000
2026-08-19,2780,3d,2026-08-21,5140.00,-6.5455,-2.1410
2026-08-19,3676,1d,2026-08-19,1060.00,0.0944,0.0000
2026-08-19,3676,3d,2026-08-21,1059.00,0.0000,-2.1410
2026-08-19,3683,1d,2026-08-19,1104.00,-0.8086,0.0000
2026-08-19,3683,3d,2026-08-21,1121.00,0.7188,-2.1410
2026-08-19,4674,1d,2026-08-19,2018.00,1.0010,0.0000
2026-08-19,4674,3d,2026-08-21,2041.00,2.1522,-2.1410
2026-08-19,6840,1d,2026-08-19,771.00,-7.6647,0.0000
2026-08-19,6840,3d,2026-08-21,732.00,-12.3353,-2.1410
2026-08-20,2780,1d,2026-08-20,5310.00,0.9506,0.0000
2026-08-20,3040,1d,2026-08-20,2399.00,0.4606,0.0000
2026-08-20,3676,1d,2026-08-20,1060.00,0.0000,0.0000
2026-08-20,3825,1d,2026-08-20,231.00,8.9623,0.0000
2026-08-20,8281,1d,2026-08-20,1208.00,1.0033,0.0000
2026-08-21,2735,1d,2026-08-21,717.00,0.4202,-0.3027
2026-08-21,3853,1d,2026-08-21,1138.00,-3.5593,-0.3027
2026-08-21,4019,1d,2026-08-21,642.00,-0.7728,-0.3027
2026-08-21,8070,1d,2026-08-21,938.00,-0.1065,-0.3027
2026-08-21,8281,1d,2026-08-21,1212.00,0.3311,-0.3027
